group,days,total_spend,total_impressions,total_clicks,total_add_to_cart,total_purchases,purchase_conversion_rate,click_through_rate,add_to_cart_rate,cost_per_click,cost_per_purchase
control,29,66818,3177233.0,154303.0,37700.0,15161.0,0.09825473257162855,0.04856521381969783,0.24432447846120944,0.4330311141066603,4.407229074599301
test,30,76892,2237544.0,180970.0,26446.0,15637.0,0.08640658672708183,0.08087885646047631,0.1461347184616235,0.42488810300049734,4.917311504764341
